camis,first_inspection,last_inspection,active_days,grade,boro,score,cuisine_description,year_opened,duration_group
40367240,2022-07-28,2024-10-15,810,A,Queens,0.0,Bottled Beverages,2022,2-3yr
40367241,2022-04-05,2025-01-28,1029,A,Manhattan,9.0,American,2022,2-3yr
40367338,2022-02-16,2024-12-10,1028,A,Manhattan,7.0,American,2022,2-3yr
40367339,2022-02-16,2023-12-14,666,A,Manhattan,2.0,American,2022,1-2yr
40367365,2021-07-26,2024-07-10,1080,A,Manhattan,11.0,American,2021,2-3yr
40367373,2022-02-17,2024-12-09,1026,A,Manhattan,13.0,Hamburgers,2022,2-3yr
40367377,2022-01-06,2024-07-30,936,N,Queens,24.0,German,2022,2-3yr
40367442,2022-05-23,2024-01-25,612,A,Staten Island,12.0,American,2022,1-2yr
40367728,2021-09-01,2024-06-20,1023,A,Manhattan,12.0,Italian,2021,2-3yr
40367749,2021-07-20,2024-07-19,1095,A,Queens,12.0,Seafood,2021,2-3yr
40367752,2022-03-07,2025-02-07,1068,A,Manhattan,11.0,American,2022,2-3yr
40367789,2022-01-06,2024-07-02,908,A,Queens,8.0,Pizza,2022,2-3yr
40367790,2022-08-17,2025-02-07,905,A,Brooklyn,8.0,Hamburgers,2022,2-3yr
40367841,2022-03-21,2025-02-03,1050,A,Manhattan,6.0,Italian,2022,2-3yr
40367860,2022-10-20,2024-08-30,680,A,Brooklyn,9.0,Pizza,2022,1-2yr
40367870,2022-08-23,2024-12-16,846,Z,Queens,23.0,Pizza,2022,2-3yr
40368018,2022-04-14,2023-05-10,391,A,Bronx,7.0,American,2022,1-2yr
40368021,2022-04-14,2024-05-22,769,A,Bronx,12.0,American,2022,2-3yr
40368022,2017-06-13,2019-05-29,715,A,Bronx,8.0,Coffee/Tea,2017,1-2yr
40368025,2024-05-21,2024-08-28,99,A,Bronx,10.0,American,2024,<1yr
40368026,2017-06-14,2019-05-22,707,A,Bronx,8.0,African,2017,1-2yr
40368034,2023-09-11,2025-04-30,597,A,Staten Island,5.0,Italian,2023,1-2yr
40368157,2021-08-17,2023-11-28,833,A,Manhattan,9.0,American,2021,2-3yr
40368207,2022-03-04,2024-09-18,929,A,Brooklyn,11.0,Jewish/Kosher,2022,2-3yr
40368223,2022-02-08,2024-01-18,709,A,Manhattan,5.0,Seafood,2022,1-2yr
40368271,2022-02-08,2025-01-07,1064,A,Manhattan,13.0,Bottled Beverages,2022,2-3yr
40368291,2022-09-21,2025-01-10,842,N,Staten Island,5.0,American,2022,2-3yr
40368313,2023-01-10,2025-01-13,734,A,Manhattan,12.0,American,2023,2-3yr
40368318,2022-01-06,2024-07-16,922,A,Manhattan,13.0,American,2022,2-3yr
40368338,2022-11-07,2024-08-28,660,A,Manhattan,7.0,American,2022,1-2yr
40368374,2022-08-24,2025-02-24,915,A,Manhattan,12.0,American,2022,2-3yr
40368555,2022-05-23,2023-08-31,465,A,Manhattan,13.0,Italian,2022,1-2yr
40368577,2023-01-11,2024-09-24,622,A,Brooklyn,10.0,American,2023,1-2yr
40368581,2022-05-04,2023-06-04,396,A,Manhattan,9.0,Bottled Beverages,2022,1-2yr
40368632,2022-02-01,2024-10-25,997,A,Brooklyn,10.0,American,2022,2-3yr
40368725,2023-01-25,2025-01-08,714,A,Manhattan,12.0,Spanish,2023,1-2yr
40368752,2023-05-26,2025-01-08,593,A,Manhattan,13.0,French,2023,1-2yr
40368763,2022-02-15,2024-10-22,980,A,Manhattan,5.0,American,2022,2-3yr
40368801,2022-02-04,2024-12-08,1038,A,Queens,2.0,Latin American,2022,2-3yr
40368809,2022-03-10,2024-02-08,700,A,Queens,2.0,American,2022,1-2yr
40368824,2022-03-09,2024-11-12,979,A,Manhattan,4.0,American,2022,2-3yr
40368897,2023-06-26,2025-05-22,696,A,Manhattan,13.0,Japanese,2023,1-2yr
40369012,2022-03-08,2024-05-01,785,A,Queens,12.0,Pizza,2022,2-3yr
40369016,2021-08-05,2024-08-01,1092,A,Manhattan,13.0,Greek,2021,2-3yr
40369051,2022-07-20,2024-12-06,870,A,Queens,13.0,American,2022,2-3yr
40369158,2022-10-25,2024-12-14,781,A,Staten Island,9.0,American,2022,2-3yr
40369165,2022-03-02,2023-10-03,580,B,Manhattan,19.0,American,2022,1-2yr
40369213,2023-01-15,2024-03-21,431,A,Queens,12.0,American,2023,1-2yr
40369262,2023-02-01,2024-06-26,511,A,Queens,4.0,Pizza,2023,1-2yr
40369299,2022-01-13,2023-10-31,656,A,Bronx,13.0,Seafood,2022,1-2yr
40369418,2022-01-24,2025-01-08,1080,A,Manhattan,12.0,Italian,2022,2-3yr
40369461,2022-02-08,2025-01-09,1066,B,Manhattan,27.0,French,2022,2-3yr
40369482,2022-12-15,2025-01-29,776,A,Brooklyn,12.0,Pizza,2022,2-3yr
40369521,2022-08-24,2025-05-14,994,A,Manhattan,13.0,Steakhouse,2022,2-3yr
40369608,2021-07-22,2023-12-28,889,A,Brooklyn,9.0,American,2021,2-3yr
40369619,2022-12-07,2024-07-31,602,A,Manhattan,13.0,American,2022,1-2yr
40369641,2022-03-23,2024-10-24,946,N,Bronx,20.0,Seafood,2022,2-3yr
40369667,2021-11-30,2024-10-09,1044,A,Brooklyn,8.0,Hamburgers,2021,2-3yr
40369669,2022-10-03,2024-12-05,794,A,Bronx,12.0,Hamburgers,2022,2-3yr
40369675,2021-07-19,2024-04-10,996,A,Queens,8.0,Hamburgers,2021,2-3yr
40369716,2021-07-23,2023-12-26,886,A,Brooklyn,10.0,Italian,2021,2-3yr
40369782,2022-07-12,2024-08-05,755,A,Brooklyn,12.0,Hamburgers,2022,2-3yr
40369878,2023-05-10,2025-04-17,708,B,Manhattan,25.0,Italian,2023,1-2yr
40369958,2022-02-08,2024-10-09,974,A,Manhattan,4.0,Steakhouse,2022,2-3yr
40369983,2022-03-09,2024-05-03,786,B,Queens,19.0,American,2022,2-3yr
40370015,2023-12-06,2025-06-06,548,A,Brooklyn,5.0,Italian,2023,1-2yr
40370150,2022-03-10,2023-04-03,389,A,Bronx,11.0,American,2022,1-2yr
40370167,2021-08-09,2024-04-29,994,N,Queens,21.0,Hamburgers,2021,2-3yr
40370168,2022-09-28,2025-04-15,930,A,Manhattan,13.0,American,2022,2-3yr
40370436,2022-01-03,2024-12-26,1088,A,Manhattan,13.0,Italian,2022,2-3yr
40370463,2022-12-02,2025-03-26,845,A,Manhattan,11.0,American,2022,2-3yr
40370507,2022-02-08,2024-09-05,940,A,Manhattan,11.0,American,2022,2-3yr
40370766,2022-02-08,2025-01-08,1065,A,Manhattan,12.0,American,2022,2-3yr
40370781,2022-01-04,2024-12-17,1078,A,Queens,7.0,Hamburgers,2022,2-3yr
40370856,2023-04-28,2023-04-28,0,A,Manhattan,10.0,American,2023,
40370939,2022-10-26,2025-01-22,819,N,Queens,21.0,Italian,2022,2-3yr
40371614,2017-02-16,2020-02-11,1090,A,Queens,12.0,French,2017,2-3yr
40371684,2022-03-10,2024-06-25,838,A,Brooklyn,12.0,Jewish/Kosher,2022,2-3yr
40371718,2022-07-13,2024-09-06,786,A,Manhattan,12.0,Coffee/Tea,2022,2-3yr
40371727,2021-08-11,2023-04-12,609,A,Brooklyn,10.0,Italian,2021,1-2yr
40371805,2021-08-04,2024-04-24,994,A,Manhattan,10.0,Bottled Beverages,2021,2-3yr
40371906,2022-12-23,2025-04-30,859,A,Brooklyn,9.0,American,2022,2-3yr
40371988,2022-09-06,2025-05-29,996,N,Queens,46.0,American,2022,2-3yr
40372112,2022-10-27,2024-10-15,719,A,Brooklyn,7.0,American,2022,1-2yr
40372196,2022-11-09,2024-12-17,769,A,Bronx,12.0,Hamburgers,2022,2-3yr
40372262,2022-09-13,2023-08-16,337,A,Manhattan,10.0,French,2022,<1yr
40372357,2023-01-23,2025-03-26,793,A,Staten Island,12.0,Italian,2023,2-3yr
40372417,2022-03-10,2024-10-03,938,A,Manhattan,12.0,Italian,2022,2-3yr
40372422,2022-10-20,2025-01-22,825,A,Queens,12.0,Hamburgers,2022,2-3yr
40372445,2023-02-22,2025-06-20,849,N,Queens,35.0,Greek,2023,2-3yr
40372466,2022-03-18,2024-03-20,733,A,Manhattan,13.0,American,2022,2-3yr
40372485,2022-11-03,2024-09-11,678,A,Brooklyn,7.0,American,2022,1-2yr
40372596,2022-02-02,2024-08-15,925,A,Brooklyn,13.0,Bakery Products/Desserts,2022,2-3yr
40372618,2022-07-19,2025-05-01,1017,A,Queens,13.0,Hamburgers,2022,2-3yr
40372631,2022-02-07,2024-08-21,926,A,Bronx,13.0,Pizza,2022,2-3yr
40372971,2023-01-19,2024-09-12,602,A,Manhattan,10.0,American,2023,1-2yr
40373113,2022-03-01,2024-08-14,897,B,Manhattan,25.0,American,2022,2-3yr
40373118,2022-03-08,2025-02-12,1072,A,Staten Island,5.0,American,2022,2-3yr
40373160,2022-01-10,2024-06-17,889,A,Brooklyn,12.0,Pizza,2022,2-3yr
40373462,2022-04-13,2024-12-09,971,A,Manhattan,8.0,Italian,2022,2-3yr
40373500,2022-02-16,2023-11-15,637,N,Manhattan,17.0,Latin American,2022,1-2yr
40373597,2022-10-27,2025-02-11,838,A,Brooklyn,10.0,Pizza,2022,2-3yr
40373669,2022-02-09,2023-04-17,432,A,Manhattan,11.0,American,2022,1-2yr
40373888,2022-05-04,2024-10-15,895,A,Manhattan,11.0,Italian,2022,2-3yr
40373909,2022-08-01,2024-08-19,749,A,Brooklyn,3.0,Hamburgers,2022,2-3yr
40373912,2022-02-08,2024-07-09,882,A,Manhattan,12.0,American,2022,2-3yr
40373937,2022-01-12,2024-10-22,1014,N,Manhattan,31.0,Chinese,2022,2-3yr
40374136,2022-07-19,2024-10-24,828,A,Bronx,7.0,Seafood,2022,2-3yr
40374192,2022-03-10,2023-01-08,304,A,Manhattan,13.0,Italian,2022,<1yr
40374266,2022-07-19,2022-07-19,0,A,Manhattan,13.0,Irish,2022,
40374277,2023-01-26,2025-05-05,830,A,Manhattan,7.0,Irish,2023,2-3yr
40374395,2021-07-23,2023-04-27,643,A,Brooklyn,5.0,Italian,2021,1-2yr
40374415,2023-04-18,2024-12-05,597,N,Manhattan,26.0,Japanese,2023,1-2yr
40374834,2022-02-09,2024-11-07,1002,N,Manhattan,37.0,Italian,2022,2-3yr
40374974,2022-12-10,2024-10-23,683,A,Manhattan,7.0,French,2022,1-2yr
40375108,2021-08-03,2024-03-27,967,A,Brooklyn,2.0,American,2021,2-3yr
